stationId,name,orderIndex,lat,lng,score
J007036,枕崎駅,36,31.2721698,130.2994316,10
J007035,薩摩板敷駅,35,31.2623577,130.3309464,10
J007034,白沢駅,34,31.2569143,130.3566943,10
J007033,薩摩塩屋駅,33,31.2571091,130.3761092,10
J007032,松ヶ浦駅,32,31.2588870,130.3945798,10
J007031,頴娃大川駅,31,31.2578874,130.4133004,10
J007030,水成川駅,30,31.2570545,130.4307155,10
J007029,石垣駅,29,31.2592212,130.4451309,10
J007028,御領駅,28,31.2517780,130.4686567,10
J007027,西頴娃駅,27,31.2412754,130.4917701,10
J007026,頴娃駅,26,31.2291538,130.5004390,10
J007025,入野駅,25,31.2050471,130.5186010,10
J007024,開聞駅,24,31.2039789,130.5348187,10
J007023,東開聞駅,23,31.2009517,130.5497897,10
J007022,薩摩川尻駅,22,31.1947777,130.5656431,10
J007021,西大山駅,21,31.1903059,130.5765123,10
J007020,大山駅,20,31.1949533,130.5991744,10
J007019,山川駅,19,31.2113672,130.6297976,10
J007018,指宿駅,18,31.2369494,130.6425862,10
J007017,二月田駅,17,31.2543361	,130.6300591,10
J007016,宮ヶ浜駅,16,31.2771667	,130.6196706,10
J007015,薩摩今和泉駅,15,31.2906927	,130.5988943,10
