Name,Location,Latitude,Longitude,Score,size_class,Category,PostalCode,Address,Elevation,ElevationSource,NearestStation,StationRoute_m,NeighborRoute_m,PaidFree,Notes,JudgeTarget,ID,Description
旧宮原直二邸及び庭園,"31.3718123,130.4277163",31.3718123,130.4277163,17,L,史跡,897-0302,鹿児島県南九州市知覧町郡１６４５９,123.5,5m（レーザ）,松ヶ浦駅,14504.2,261.9,,,1,31.3718123_130.4277163,"カテゴリ: 史跡
郵便番号: 897-0302
住所: 鹿児島県南九州市知覧町郡１６４５９
標高: 123.5
標高出典: 5m（レーザ）
最寄り駅: 松ヶ浦駅(14504.2m)
総合点: 17"
石坂上遺跡,"31.3678214,130.4489116",31.3678214,130.4489116,26,L,史跡,897-0303,鹿児島県南九州市知覧町永里４５７７,179.2,5m（レーザ）,松ヶ浦駅,15184.9,1162.0,,,1,31.3678214_130.4489116,"カテゴリ: 史跡
郵便番号: 897-0303
住所: 鹿児島県南九州市知覧町永里４５７７
標高: 179.2
標高出典: 5m（レーザ）
最寄り駅: 松ヶ浦駅(15184.9m)
総合点: 26"
白石神社,"31.3526098,130.4466427",31.3526098,130.4466427,22,L,神社,897-0303,鹿児島県南九州市知覧町永里５０７９−２,155.5,5m（レーザ）,松ヶ浦駅,13361.5,885.4,,,1,31.3526098_130.4466427,"カテゴリ: 神社
郵便番号: 897-0303
住所: 鹿児島県南九州市知覧町永里５０７９−２
標高: 155.5
標高出典: 5m（レーザ）
最寄り駅: 松ヶ浦駅(13361.5m)
総合点: 22"
南方神社,"31.3204973,130.4462825",31.3204973,130.4462825,13,L,神社,897-0304,鹿児島県南九州市知覧町東別府１０８５４,159.7,5m（レーザ）,松ヶ浦駅,9762.3,343.4,,,1,31.3204973_130.4462825,"カテゴリ: 神社
郵便番号: 897-0304
住所: 鹿児島県南九州市知覧町東別府１０８５４
標高: 159.7
標高出典: 5m（レーザ）
最寄り駅: 松ヶ浦駅(9762.3m)
総合点: 13"
千貫平自然公園,"31.3112791,130.5267576",31.3112791,130.5267576,19,L,公園,891-0702,鹿児島県南九州市頴娃町牧之内１５０２５−５,570,10m,薩摩今和泉駅,12099.7,234.1,,,1,31.3112791_130.5267576,"カテゴリ: 公園
郵便番号: 891-0702
住所: 鹿児島県南九州市頴娃町牧之内１５０２５−５
標高: 570
標高出典: 10m
最寄り駅: 薩摩今和泉駅(12099.7m)
総合点: 19"
嶽簡易郵便局,"31.2557846,130.5301906",31.2557846,130.5301906,26,L,郵便局,891-0701,鹿児島県南九州市頴娃町郡４５４９−１,213,10m,西頴娃駅,5654.8,2703.0,,,1,31.2557846_130.5301906,"カテゴリ: 郵便局
郵便番号: 891-0701
住所: 鹿児島県南九州市頴娃町郡４５４９−１
標高: 213
標高出典: 10m
最寄り駅: 西頴娃駅(5654.8m)
総合点: 26"
瀬平の観音像一体と洞窟,"31.2200955,130.5039938",31.2200955,130.5039938,2,M,史跡,891-0701,鹿児島県南九州市頴娃町郡１０５４４,18.1,5m（レーザ）,頴娃駅,1481.7,142.0,,,1,31.2200955_130.5039938,"カテゴリ: 史跡
郵便番号: 891-0701
住所: 鹿児島県南九州市頴娃町郡１０５４４
標高: 18.1
標高出典: 5m（レーザ）
最寄り駅: 頴娃駅(1481.7m)
総合点: 2"
興玉神社,"31.2515264,130.4782901",31.2515264,130.4782901,5,M,神社,891-0703,鹿児島県南九州市頴娃町御領３４５８,19.6,5m（レーザ）,御領駅,1154.3,486.3,,,1,31.2515264_130.4782901,"カテゴリ: 神社
郵便番号: 891-0703
住所: 鹿児島県南九州市頴娃町御領３４５８
標高: 19.6
標高出典: 5m（レーザ）
最寄り駅: 御領駅(1154.3m)
総合点: 5"
恵比寿神社,"31.2489074,130.4676320",31.2489074,130.4676320,1,S,神社,891-0703,鹿児島県南九州市頴娃町御領,8.4,5m（レーザ）,御領駅,431.2,133.5,,,1,31.2489074_130.4676320,"カテゴリ: 神社
郵便番号: 891-0703
住所: 鹿児島県南九州市頴娃町御領
標高: 8.4
標高出典: 5m（レーザ）
最寄り駅: 御領駅(431.2m)
総合点: 1"
戸柱神社,"31.2521360,130.4433463",31.2521360,130.4433463,1,S,神社,891-0704,鹿児島県南九州市頴娃町別府２９６２,15.8,5m（レーザ）,石垣駅,909.9,23.9,,,1,31.2521360_130.4433463,"カテゴリ: 神社
郵便番号: 891-0704
住所: 鹿児島県南九州市頴娃町別府２９６２
標高: 15.8
標高出典: 5m（レーザ）
最寄り駅: 石垣駅(909.9m)
総合点: 1"
前瀬鼻恵比寿神社,"31.2494936,130.4123829",31.2494936,130.4123829,7,M,神社,891-0704,鹿児島県南九州市頴娃町別府６９０６,9.8,5m（レーザ）,頴娃大川駅,1153.7,647.0,,,1,31.2494936_130.4123829,"カテゴリ: 神社
郵便番号: 891-0704
住所: 鹿児島県南九州市頴娃町別府６９０６
標高: 9.8
標高出典: 5m（レーザ）
最寄り駅: 頴娃大川駅(1153.7m)
総合点: 7"
タツノオトシゴ神社(番所鼻),"31.2471693,130.4316571",31.2471693,130.4316571,2,M,神社,891-0704,鹿児島県南九州市頴娃町別府５２０２ タツノオトシゴハウス 内,4.9,5m（レーザ）,水成川駅,1305.0,114.6,,,1,31.2471693_130.4316571,"カテゴリ: 神社
郵便番号: 891-0704
住所: 鹿児島県南九州市頴娃町別府５２０２ タツノオトシゴハウス 内
標高: 4.9
標高出典: 5m（レーザ）
最寄り駅: 水成川駅(1305.0m)
総合点: 2"
番所鼻の溶結凝灰岩の環状プール群,"31.2471498,130.4335331",31.2471498,130.4335331,1,S,海岸,891-0704,鹿児島県南九州市頴娃町別府５２０２ 番所鼻自然公園,-0.1,5m（レーザ）,水成川駅,1153.1,8.1,,,1,31.2471498_130.4335331,"カテゴリ: 海岸
郵便番号: 891-0704
住所: 鹿児島県南九州市頴娃町別府５２０２ 番所鼻自然公園
標高: -0.1
標高出典: 5m（レーザ）
最寄り駅: 水成川駅(1153.1m)
総合点: 1"
竜の落とし子～吉鐘～,"31.2474810,130.4336085",31.2474810,130.4336085,1,S,観光,891-0704,鹿児島県南九州市頴娃町別府５２０２,12.9,5m（レーザ）,水成川駅,1145.0,8.1,,,1,31.2474810_130.4336085,"カテゴリ: 観光
郵便番号: 891-0704
住所: 鹿児島県南九州市頴娃町別府５２０２
標高: 12.9
標高出典: 5m（レーザ）
最寄り駅: 水成川駅(1145.0m)
総合点: 1"
伊能忠敬先生絶賛の地,"31.2473100,130.4339160",31.2473100,130.4339160,1,S,観光,891-0704,鹿児島県南九州市頴娃町別府５２０２,8.3,5m（レーザ）,水成川駅,1153.1,8.1,,,1,31.2473100_130.4339160,"カテゴリ: 観光
郵便番号: 891-0704
住所: 鹿児島県南九州市頴娃町別府５２０２
標高: 8.3
標高出典: 5m（レーザ）
最寄り駅: 水成川駅(1153.1m)
総合点: 1"
